iter	Passed	Remaining
399	43827	65740
400	43931	65622
401	44039	65511
402	44148	65400
403	44262	65298
404	44370	65186
405	44471	65064
406	44584	64959
407	44693	64849
408	44806	64745
409	44919	64640
410	45031	64534
411	45139	64421
412	45231	64288
413	45333	64168
414	45445	64061
415	45556	63954
416	45671	63853
417	45781	63743
418	45886	63628
419	45987	63506
420	46089	63386
421	46202	63281
422	46318	63180
423	46427	63071
424	46535	62959
425	46634	62836
426	46751	62736
427	46862	62629
428	46975	62524
429	47092	62424
430	47204	62318
431	47304	62196
432	47417	62091
433	47509	61959
434	47630	61864
435	47731	61745
436	47851	61648
437	47971	61551
438	48080	61442
439	48173	61312
440	48284	61204
441	48397	61098
442	48513	60998
443	48619	60883
444	48731	60778
445	48839	60665
446	48946	60553
447	49057	60445
448	49174	60345
449	49275	60225
450	49383	60114
451	49488	59999
452	49601	59893
453	49711	59785
454	49823	59678
455	49931	59567
456	50044	59461
457	50145	59343
458	50255	59233
459	50361	59120
460	50457	58994
461	50550	58866
462	50659	58756
463	50769	58647
464	50870	58527
465	50972	58410
466	51080	58299
467	51192	58193
468	51289	58070
469	51395	57956
470	51499	57840
471	51608	57731
472	51721	57625
473	51817	57502
474	51920	57385
475	52035	57282
476	52148	57177
477	52263	57073
478	52380	56973
479	52492	56866
480	52609	56765
481	52714	56651
482	52827	56545
483	52932	56432
484	53029	56309
485	53140	56202
486	53240	56082
487	53350	55974
488	53464	55869
489	53567	55753
490	53667	55634
491	53778	55527
492	53878	55408
493	53991	55303
494	54101	55194
495	54209	55083
496	54323	54978
497	54431	54868
498	54532	54750
499	54644	54644
500	54743	54524
501	54854	54417
502	54960	54304
503	55072	54198
504	55184	54091
505	55289	53978
506	55390	53861
507	55490	53742
508	55601	53635
509	55698	53514
510	55799	53397
511	55899	53278
512	56010	53171
513	56121	53064
514	56233	52957
515	56345	52851
516	56457	52744
517	56565	52634
518	56678	52528
519	56788	52419
520	56882	52296
521	56990	52187
522	57087	52066
523	57193	51954
524	57293	51837
525	57405	51730
526	57500	51608
527	57611	51501
528	57728	51399
529	57839	51291
530	57950	51183
531	58062	51077
532	58164	50962
533	58265	50846
534	58378	50740
535	58476	50621
536	58579	50506
537	58676	50387
538	58782	50275
539	58890	50165
540	59000	50057
541	59107	49947
542	59221	49842
543	59328	49731
544	59441	49625
545	59542	49509
546	59654	49402
547	59766	49296
548	59878	49189
549	59989	49082
550	60092	48968
551	60205	48862
552	60304	48745
553	60411	48634
554	60524	48529
555	60635	48421
556	60735	48304
557	60846	48197
558	60959	48091
559	61060	47976
560	61160	47859
561	61258	47742
562	61356	47624
563	61465	47515
564	61580	47411
565	61674	47291
566	61790	47187
567	61897	47076
568	62013	46973
569	62125	46866
570	62227	46751
571	62333	46641
572	62444	46533
573	62558	46428
574	62674	46324
575	62783	46215
576	62895	46108
577	63005	46000
578	63117	45893
579	63231	45788
580	63339	45678
581	63449	45570
582	63554	45458
583	63668	45352
584	63771	45239
585	63880	45130
586	63997	45027
587	64098	44912
588	64206	44802
589	64303	44685
590	64402	44569
591	64518	44465
592	64624	44354
593	64722	44238
594	64834	44131
595	64933	44015
596	65045	43908
597	65156	43800
598	65269	43694
599	65380	43587
600	65485	43475
601	65599	43369
602	65705	43259
603	65821	43154
604	65920	43039
605	66030	42931
606	66135	42819
607	66235	42704
608	66351	42600
609	66457	42488
610	66568	42381
611	66669	42267
612	66764	42149
613	66872	42040
614	66971	41925
615	67085	41819
616	67199	41713
617	67298	41598
618	67406	41489
619	67520	41383
620	67629	41274
621	67729	41160
622	67843	41054
623	67943	40940
624	68053	40832
625	68165	40725
626	68280	40619
627	68385	40508
628	68482	40392
629	68580	40277
630	68699	40174
631	68813	40068
632	68926	39961
633	69037	39854
634	69134	39738
635	69243	39629
636	69354	39522
637	69473	39419
638	69583	39311
639	69696	39204
640	69814	39100
641	69928	38994
642	70042	38888
643	70159	38783
644	70272	38677
645	70389	38572
646	70507	38468
647	70613	38358
648	70728	38252
649	70827	38137
650	70936	38028
651	71034	37914
652	71145	37806
653	71262	37701
654	71370	37591
655	71480	37483
656	71578	37368
657	71678	37255
658	71782	37144
659	71918	37049
660	72021	36936
661	72135	36830
662	72234	36716
663	72368	36620
664	72503	36524
665	72660	36439
666	72752	36321
667	72861	36212
668	72972	36104
669	73067	35988
670	73174	35878
671	73290	35772
672	73395	35661
673	73516	35558
674	73626	35449
675	73737	35341
676	73833	35226
677	73944	35118
678	74047	35006
679	74161	34899
680	74278	34794
681	74376	34680
682	74489	34572
683	74600	34464
684	74704	34353
685	74809	34242
686	74921	34134
687	75031	34025
688	75144	33918
689	75242	33804
690	75360	33699
691	75460	33586
692	75563	33474
693	75671	33365
694	75781	33256
695	75893	33148
696	76004	33040
697	76108	32929
698	76206	32815
699	76312	32705
700	76420	32595
701	76530	32487
702	76646	32381
703	76756	32272
704	76850	32157
705	76951	32044
706	77058	31935
707	77158	31822
708	77283	31720
