iter	Logloss
0	0.6599871659
1	0.6391190878
2	0.6258499245
3	0.6177761088
4	0.6123501787
5	0.6080118407
6	0.6049389917
7	0.6015265647
8	0.5997062648
9	0.598190587
10	0.5961461533
11	0.5949562911
12	0.5933637367
13	0.5924799811
14	0.5915086676
15	0.5900098206
16	0.5894716607
17	0.5884512561
18	0.5875147433
19	0.5868042614
20	0.5858554177
21	0.5851267767
22	0.5840611899
23	0.58347993
24	0.5828911541
25	0.5816208295
26	0.5812381182
27	0.5804954763
28	0.5798928748
29	0.5789415047
30	0.5783423956
31	0.5776773075
32	0.576988874
33	0.5767136741
34	0.5757549534
35	0.5753629469
36	0.575119927
37	0.5745957983
38	0.5739656905
39	0.5736468067
40	0.5729708029
41	0.5724836122
42	0.5722600741
43	0.5716419438
44	0.5708742339
45	0.570237315
46	0.5698527613
47	0.5696123595
48	0.5690137202
49	0.5685350274
50	0.5681641977
51	0.5676854303
52	0.5671805524
53	0.5668969216
54	0.5664920674
55	0.5660265037
56	0.5657922447
57	0.5655171407
58	0.5650557037
59	0.5646317219
60	0.5644040183
61	0.563988197
62	0.5637949335
63	0.5633840277
64	0.5629965271
65	0.5623565048
66	0.5621472171
67	0.5619166108
68	0.5611473175
69	0.5610081172
70	0.5608216205
71	0.5606669884
72	0.5604183641
73	0.5600939248
74	0.559878933
75	0.559420535
76	0.5591550645
77	0.5586228726
78	0.5580831053
79	0.5577720436
80	0.5573959201
81	0.557134137
82	0.556960228
83	0.5566250103
84	0.5562682697
85	0.5558290193
86	0.5557126857
87	0.5552472383
88	0.5549873921
89	0.5545777718
90	0.5543993417
91	0.5541351099
92	0.553852062
93	0.5537232243
94	0.5535999097
95	0.5532217972
96	0.5531438378
97	0.5528730148
98	0.5526254069
99	0.5524255975
100	0.5522574936
101	0.552097359
102	0.5518632789
103	0.5517202666
104	0.5513337567
105	0.551125928
106	0.5510385461
107	0.5509040938
108	0.5505336869
109	0.5503276542
110	0.5500420315
111	0.5499239824
112	0.5496377665
113	0.5492228123
114	0.5490447844
115	0.54891004
116	0.548851735
117	0.5486749934
118	0.5484393142
119	0.5481541949
120	0.5480629559
121	0.5478631989
122	0.5476042802
123	0.5473865974
124	0.547139743
125	0.5469344107
126	0.546851477
127	0.546601339
128	0.5464170448
129	0.5463660099
130	0.546163787
131	0.5458317556
132	0.5456964816
133	0.5453954554
134	0.5452482413
135	0.544926734
136	0.5446901526
137	0.544473394
138	0.5439498264
139	0.5436236195
140	0.5435112202
141	0.5433361795
142	0.543152586
143	0.5429786611
144	0.5427332982
145	0.5424674705
146	0.5420889931
147	0.5420250697
148	0.5416477961
149	0.54144505
150	0.5413674668
151	0.5412859228
152	0.5412033522
153	0.5410854349
154	0.5409265202
155	0.5407263954
156	0.5406242553
157	0.5404876418
158	0.5403355757
159	0.5401549752
160	0.5399453133
161	0.5397439094
162	0.5395969977
163	0.5394568478
164	0.5393401967
165	0.53913702
166	0.5388474635
167	0.5387310595
168	0.5386134125
169	0.5384040896
170	0.53835263
171	0.5382003283
172	0.5381149482
173	0.537995917
174	0.5376653521
175	0.5374896762
176	0.5373398731
177	0.5371179548
178	0.5367043309
179	0.5364872053
180	0.5363370207
181	0.5362741311
182	0.5361753291
183	0.5358350779
184	0.5356579306
185	0.5354141973
186	0.5352597826
187	0.5351986036
188	0.535151967
189	0.5349821951
190	0.5347908219
191	0.5347156557
192	0.5346300768
193	0.5344064318
194	0.5342238212
195	0.5340321937
196	0.5338561066
197	0.5336561717
198	0.5335705109
199	0.5334018872
200	0.533184845
201	0.5331240003
202	0.5330395325
203	0.5328943956
204	0.5328392144
205	0.5326811646
206	0.5326295882
207	0.5325573279
208	0.5323582176
209	0.5322908721
210	0.5321280249
211	0.53197898
212	0.5318383667
213	0.5316830253
214	0.5315124443
215	0.5313258948
216	0.5312420128
217	0.5311465534
218	0.5310820683
219	0.5308986566
220	0.5307961775
221	0.530682394
222	0.5306168301
223	0.5305769438
224	0.5304392605
225	0.5302983716
226	0.5300967332
227	0.5299041288
228	0.5298194219
229	0.5297867395
230	0.5296639904
231	0.5295704178
232	0.5294618313
233	0.529357291
234	0.5292917805
235	0.5291979353
236	0.5291404414
237	0.5289914658
238	0.5288081673
239	0.5286784455
240	0.5286302756
241	0.5285195557
242	0.5283729849
243	0.5282686821
244	0.5281739541
245	0.5281081273
246	0.52805878
247	0.5279862241
248	0.5279539544
249	0.5278342058
250	0.5277743184
251	0.527696942
252	0.5275394228
253	0.5274238311
254	0.5273773271
255	0.5273186053
256	0.5272204341
257	0.5271756211
258	0.5271130604
259	0.5269174843
260	0.5268734067
261	0.5268274399
262	0.5265896595
263	0.5265133854
264	0.5264044824
265	0.526314217
266	0.5261937358
267	0.5261081213
268	0.5259156746
269	0.5258088942
270	0.5257374003
271	0.5256555862
272	0.525476076
273	0.5253431234
274	0.5253120612
275	0.5251048926
276	0.5249603812
277	0.5248263942
278	0.5246214966
279	0.5245789253
280	0.5245211037
281	0.5243971684
282	0.5242263172
283	0.5241808824
284	0.5241275409
285	0.5240561376
286	0.5240224
287	0.5239498046
288	0.5238911297
289	0.5238260513
290	0.5237853084
291	0.5237164145
292	0.5236367638
293	0.5236170582
294	0.5234483986
295	0.5233758222
296	0.5232286349
297	0.5231534172
298	0.5230090904
299	0.5228369113
300	0.5227693462
301	0.5227061896
302	0.5225741097
303	0.5225234844
304	0.5224415846
305	0.5223774118
306	0.5223673042
307	0.5223275794
308	0.5221639713
309	0.5219848002
310	0.5218901566
311	0.5218603984
312	0.5217659755
313	0.5217161521
314	0.5216571137
315	0.521557079
316	0.52144234
317	0.5213761262
318	0.5213157848
319	0.5212179185
320	0.5210383553
321	0.5209307863
322	0.5208580076
323	0.5208057213
324	0.5206367597
325	0.5204343667
326	0.5203677742
327	0.5203076387
328	0.5202200886
329	0.5201698811
330	0.5200344081
331	0.5200102312
332	0.5199672718
333	0.5199227891
334	0.5198309492
335	0.5196992774
336	0.5196349159
337	0.5195052557
